Year,Category,Actress,Film,Character,Result
1996,Actress in a Leading Role,Brenda Blethyn,Secrets & Lies,Cynthia Purley,Winner
1996,Actress in a Leading Role,Frances McDormand,Fargo,Marge Gunderson,Nominee
1996,Actress in a Leading Role,Kristin Scott Thomas,The English Patient,Katharine Clifton,Nominee
1996,Actress in a Leading Role,Emily Watson,Breaking the Waves,Bess McNeill,Nominee
1997,Actress in a Leading Role,Judi Dench,Mrs Brown,Queen Victoria,Winner
1997,Actress in a Leading Role,Kim Basinger,L.A. Confidential,Lynn Bracken,Nominee
1997,Actress in a Leading Role,Kathy Burke,Nil by Mouth,Valerie,Nominee
1997,Actress in a Leading Role,Helena Bonham Carter,The Wings of the Dove,Kate Croy,Nominee
1998,Actress in a Leading Role,Cate Blanchett,Elizabeth,Queen Elizabeth I,Winner
1998,Actress in a Leading Role,Jane Horrocks,Little Voice,"Laurie Hoff / Little Voice ""LV""",Nominee
1998,Actress in a Leading Role,Gwyneth Paltrow,Shakespeare in Love,Viola de Lesseps,Nominee
1998,Actress in a Leading Role,Emily Watson,Hilary and Jackie,Jacqueline du Pré,Nominee
1999,Actress in a Leading Role,Annette Bening,American Beauty,Carolyn Burnham,Winner
1999,Actress in a Leading Role,Linda Bassett,East Is East,Ella Khan,Nominee
1999,Actress in a Leading Role,Julianne Moore,The End of the Affair,Sarah Miles,Nominee
1999,Actress in a Leading Role,Emily Watson,Angela's Ashes,Angela Sheehan McCourt,Nominee
2000,Actress in a Leading Role,Julia Roberts,Erin Brockovich,Erin Brockovich,Winner
2000,Actress in a Leading Role,Juliette Binoche,Chocolat,Vivianne Rocher,Nominee
2000,Actress in a Leading Role,Kate Hudson,Almost Famous,Penny Lane,Nominee
2000,Actress in a Leading Role,Hilary Swank,Boys Don't Cry,Brandon Teena,Nominee
2000,Actress in a Leading Role,Michelle Yeoh,"Crouching Tiger, Hidden Dragon",Yu Shu Lien,Nominee
2001,Actress in a Leading Role,Judi Dench,Iris,Iris Murdoch,Winner
2001,Actress in a Leading Role,Nicole Kidman,The Others,Grace Stewart,Nominee
2001,Actress in a Leading Role,Sissy Spacek,In the Bedroom,Ruth Fowler,Nominee
2001,Actress in a Leading Role,Audrey Tautou,Amélie,Amélie Poulain,Nominee
2001,Actress in a Leading Role,Renée Zellweger,Bridget Jones's Diary,Bridget Jones,Nominee
2002,Actress in a Leading Role,Nicole Kidman,The Hours,Virginia Woolf,Winner
2002,Actress in a Leading Role,Halle Berry,Monster's Ball,Leticia Musgrove,Nominee
2002,Actress in a Leading Role,Salma Hayek,Frida,Frida Kahlo,Nominee
2002,Actress in a Leading Role,Meryl Streep,The Hours,Clarissa Vaughan,Nominee
2002,Actress in a Leading Role,Renée Zellweger,Chicago,Roxie Hart,Nominee
2003,Actress in a Leading Role,Scarlett Johansson,Lost in Translation,Charlotte,Winner
2003,Actress in a Leading Role,Scarlett Johansson,Girl with a Pearl Earring,Griet,Nominee
2003,Actress in a Leading Role,Anne Reid,The Mother,May,Nominee
2003,Actress in a Leading Role,Uma Thurman,Kill Bill: Volume 1,Beatrix Kiddo,Nominee
2003,Actress in a Leading Role,Naomi Watts,21 Grams,Cristina Peck,Nominee
2004,Actress in a Leading Role,Imelda Staunton,Vera Drake,Vera Drake,Winner
2004,Actress in a Leading Role,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clementine Kruczynski,Nominee
2004,Actress in a Leading Role,Kate Winslet,Finding Neverland,Sylvia Llewelyn Davies,Nominee
2004,Actress in a Leading Role,Charlize Theron,Monster,Aileen Wuornos,Nominee
2004,Actress in a Leading Role,Zhang Ziyi,House of Flying Daggers,Mei,Nominee
2005,Actress in a Leading Role,Reese Witherspoon,Walk the Line,June Carter Cash,Winner
2005,Actress in a Leading Role,Judi Dench,Mrs Henderson Presents,Laura Henderson,Nominee
2005,Actress in a Leading Role,Charlize Theron,North Country,Josey Aimes,Nominee
2005,Actress in a Leading Role,Rachel Weisz,The Constant Gardener,Tessa Abbott-Quayle,Nominee
2005,Actress in a Leading Role,Zhang Ziyi,Memoirs of a Geisha,Chiyo Sakamoto / Sayuri Nitta,Nominee
2006,Actress in a Leading Role,Helen Mirren,The Queen,Queen Elizabeth II,Winner
2006,Actress in a Leading Role,Penélope Cruz,Volver,Raimunda,Nominee
2006,Actress in a Leading Role,Judi Dench,Notes on a Scandal,Barbara Covett,Nominee
2006,Actress in a Leading Role,Meryl Streep,The Devil Wears Prada,Miranda Priestly,Nominee
2006,Actress in a Leading Role,Kate Winslet,Little Children,Sarah Pierce,Nominee
2007,Actress in a Leading Role,Marion Cotillard,La Vie en Rose,Édith Piaf,Winner
2007,Actress in a Leading Role,Cate Blanchett,Elizabeth: The Golden Age,Queen Elizabeth I,Nominee
2007,Actress in a Leading Role,Julie Christie,Away from Her,Fiona Anderson,Nominee
2007,Actress in a Leading Role,Keira Knightley,Atonement,Cecilia Tallis,Nominee
2007,Actress in a Leading Role,Elliot Page,Juno,Juno MacGuff,Nominee
2008,Actress in a Leading Role,Kate Winslet,The Reader,Hanna Schmitz,Winner
2008,Actress in a Leading Role,Angelina Jolie,Changeling,Christine Collins,Nominee
2008,Actress in a Leading Role,Meryl Streep,Doubt,Sister Aloysius Beauvier,Nominee
2008,Actress in a Leading Role,Kristin Scott Thomas,I've Loved You So Long,Juliette Fontaine,Nominee
2008,Actress in a Leading Role,Kate Winslet,Revolutionary Road,April Wheeler,Nominee
2009,Actress in a Leading Role,Carey Mulligan,An Education,Jenny Mellor,Winner
2009,Actress in a Leading Role,Saoirse Ronan,The Lovely Bones,Susie Salmon,Nominee
2009,Actress in a Leading Role,Gabourey Sidibe,Precious,"Claireece ""Precious"" Jones",Nominee
2009,Actress in a Leading Role,Meryl Streep,Julie & Julia,Julia Child,Nominee
2009,Actress in a Leading Role,Audrey Tautou,Coco Before Chanel,Coco Chanel,Nominee
2010,Actress in a Leading Role,Natalie Portman,Black Swan,Nina Sayers,Winner
2010,Actress in a Leading Role,Annette Bening,The Kids Are All Right,"Dr. Nicole ""Nic"" Allgood",Nominee
2010,Actress in a Leading Role,Julianne Moore,The Kids Are All Right,Jules Allgood,Nominee
2010,Actress in a Leading Role,Noomi Rapace,The Girl with the Dragon Tattoo,Lisbeth Salander,Nominee
2010,Actress in a Leading Role,Hailee Steinfeld,True Grit,Mattie Ross,Nominee
2011,Actress in a Leading Role,Meryl Streep,The Iron Lady,Margaret Thatcher,Winner
2011,Actress in a Leading Role,Bérénice Bejo,The Artist,Peppy Miller,Nominee
2011,Actress in a Leading Role,Viola Davis,The Help,Aibleen Clark,Nominee
2011,Actress in a Leading Role,Tilda Swinton,We Need to Talk About Kevin,Eva Khatchadourian,Nominee
2011,Actress in a Leading Role,Michelle Williams,My Week with Marilyn,Marilyn Monroe,Nominee
2012,Actress in a Leading Role,Emmanuelle Riva,Amour,Anne Laurent,Winner
2012,Actress in a Leading Role,Jessica Chastain,Zero Dark Thirty,Maya Harris,Nominee
2012,Actress in a Leading Role,Marion Cotillard,Rust and Bone,Stéphanie,Nominee
2012,Actress in a Leading Role,Jennifer Lawrence,Silver Linings Playbook,Tiffany Maxwell,Nominee
2012,Actress in a Leading Role,Helen Mirren,Hitchcock,Alma Reville Hitchcock,Nominee
2013,Actress in a Leading Role,Cate Blanchett,Blue Jasmine,"Jeanette ""Jasmine"" Francis",Winner
2013,Actress in a Leading Role,Amy Adams,American Hustle,Sydney Prosser / Lady Edith Greensly,Nominee
2013,Actress in a Leading Role,Sandra Bullock,Gravity,Dr. Ryan Stone,Nominee
2013,Actress in a Leading Role,Judi Dench,Philomena,Philomena Lee,Nominee
2013,Actress in a Leading Role,Emma Thompson,Saving Mr. Banks,P. L. Travers,Nominee
2014,Actress in a Leading Role,Julianne Moore,Still Alice,Dr. Alice Howland,Winner
2014,Actress in a Leading Role,Amy Adams,Big Eyes,Margaret Keane,Nominee
2014,Actress in a Leading Role,Felicity Jones,The Theory of Everything,Jane Wilde Hawking,Nominee
2014,Actress in a Leading Role,Rosamund Pike,Gone Girl,Amy Elliott-Dunne,Nominee
2014,Actress in a Leading Role,Reese Witherspoon,Wild,Cheryl Strayed,Nominee
2015,Actress in a Leading Role,Brie Larson,Room,"Joy ""Ma"" Newsome",Winner
2015,Actress in a Leading Role,Cate Blanchett,Carol,Carol Aird,Nominee
2015,Actress in a Leading Role,Saoirse Ronan,Brooklyn,Eilis Lacey,Nominee
2015,Actress in a Leading Role,Maggie Smith,The Lady in the Van,Mary Shepherd / Margaret Fairchild,Nominee
2015,Actress in a Leading Role,Alicia Vikander,The Danish Girl,Gerda Wegener,Nominee
2016,Actress in a Leading Role,Emma Stone,La La Land,Mia Dolan,Winner
2016,Actress in a Leading Role,Amy Adams,Arrival,Dr. Louise Banks,Nominee
2016,Actress in a Leading Role,Emily Blunt,The Girl on the Train,Rachel Watson,Nominee
2016,Actress in a Leading Role,Natalie Portman,Jackie,Jackie Kennedy,Nominee
2016,Actress in a Leading Role,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins,Nominee
2017,Actress in a Leading Role,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Mildred Hayes,Winner
2017,Actress in a Leading Role,Annette Bening,Film Stars Don't Die in Liverpool,Gloria Grahame,Nominee
2017,Actress in a Leading Role,Sally Hawkins,The Shape of Water,Elisa Esposito,Nominee
2017,Actress in a Leading Role,Margot Robbie,"I, Tonya",Tonya Harding,Nominee
2017,Actress in a Leading Role,Saoirse Ronan,Lady Bird,"Christine ""Lady Bird"" McPherson",Nominee
2018,Actress in a Leading Role,Olivia Colman,The Favourite,Queen Anne,Winner
2018,Actress in a Leading Role,Glenn Close,The Wife,Joan Castleman,Nominee
2018,Actress in a Leading Role,Viola Davis,Widows,Veronica Rawlings,Nominee
2018,Actress in a Leading Role,Lady Gaga,A Star Is Born,Ally Maine,Nominee
2018,Actress in a Leading Role,Melissa McCarthy,Can You Ever Forgive Me?,Lee Israel,Nominee
2019,Actress in a Leading Role,Renée Zellweger,Judy,Judy Garland,Winner
2019,Actress in a Leading Role,Jessie Buckley,Wild Rose,Rose-Lynn Harlan,Nominee
2019,Actress in a Leading Role,Scarlett Johansson,Marriage Story,Nicole Barber,Nominee
2019,Actress in a Leading Role,Saoirse Ronan,Little Women,"Josephine ""Jo"" March",Nominee
2019,Actress in a Leading Role,Charlize Theron,Bombshell,Megyn Kelly,Nominee
2020,Actress in a Leading Role,Frances McDormand,Nomadland,Fern,Winner
2020,Actress in a Leading Role,Bukky Bakray,Rocks,"Olushola ""Rocks"" Omotoso",Nominee
2020,Actress in a Leading Role,Radha Blank,The Forty-Year-Old Version,Radha Blank,Nominee
2020,Actress in a Leading Role,Vanessa Kirby,Pieces of a Woman,Martha Weiss,Nominee
2020,Actress in a Leading Role,Wunmi Mosaku,His House,Rial Majur,Nominee
2020,Actress in a Leading Role,Alfre Woodard,Clemency,Bernardine Williams,Nominee
2021,Actress in a Leading Role,Joanna Scanlan,After Love,Mary Hussain,Winner
2021,Actress in a Leading Role,Lady Gaga,House of Gucci,Patrizia Reggiani,Nominee
2021,Actress in a Leading Role,Alana Haim,Licorice Pizza,Alana Kane,Nominee
2021,Actress in a Leading Role,Emilia Jones,CODA,Ruby Rossi,Nominee
2021,Actress in a Leading Role,Renate Reinsve,The Worst Person in the World,Julie,Nominee
2021,Actress in a Leading Role,Tessa Thompson,Passing,Irene Redfield,Nominee
2022,Actress in a Leading Role,Cate Blanchett,Tár,Lydia Tár,Winner
2022,Actress in a Leading Role,Viola Davis,The Woman King,General Nanisca,Nominee
2022,Actress in a Leading Role,Danielle Deadwyler,Till,Mamie Till,Nominee
2022,Actress in a Leading Role,Ana de Armas,Blonde,Marilyn Monroe,Nominee
2022,Actress in a Leading Role,Emma Thompson,"Good Luck to You, Leo Grande",Nancy Stokes / Susan Robinson,Nominee
2022,Actress in a Leading Role,Michelle Yeoh,Everything Everywhere All at Once,Evelyn Quan Wang,Nominee
2023,Actress in a Leading Role,Emma Stone,Poor Things,Bella Baxter,Winner
2023,Actress in a Leading Role,Fantasia Barrino,The Color Purple,Celie Harris-Johnson,Nominee
2023,Actress in a Leading Role,Sandra Huller,Anatomy of a Fall,Sandra Voyter,Nominee
2023,Actress in a Leading Role,Carey Mulligan,Maestro,Felicia Montealegre,Nominee
2023,Actress in a Leading Role,Vivian Oparah,Rye Lane,Yas,Nominee
2023,Actress in a Leading Role,Margot Robbie,Barbie,Barbie,Nominee