Year,Category,Director(s),Film,Result
1996,Film,Anthony Minghella,The English Patient,Winner
1996,Film,Joel Coen,Fargo,Nominee
1996,Film,Mike Leigh,Secrets & Lies,Nominee
1996,Film,Scott Hicks,Shine,Nominee
1997,Film,Peter Cattaneo,The Full Monty,Winner
1997,Film,Curtis Hanson,L.A. Confidential,Nominee
1997,Film,John Madden,Mrs Brown,Nominee
1997,Film,James Cameron,Titanic,Nominee
1998,Film,John Madden,Shakespeare in Love,Winner
1998,Film,Shekhar Kapur,Elizabeth,Nominee
1998,Film,Steven Spielberg,Saving Private Ryan,Nominee
1998,Film,Peter Weir,The Truman Show,Nominee
1999,Film,Sam Mendes,American Beauty,Winner
1999,Film,Damien O'Donnell,East is East,Nominee
1999,Film,Neil Jordan,The End of the Affair,Nominee
1999,Film,M. Night Shyamalan,The Sixth Sense,Nominee
1999,Film,Anthony Minghella,The Talented Mr. Ripley,Nominee
2000,Film,Ridley Scott,Gladiator,Winner
2000,Film,Cameron Crowe,Almost Famous,Nominee
2000,Film,Stephen Daldry,Billy Elliot,Nominee
2000,Film,Ang Lee,"Crouching Tiger, Hidden Dragon",Nominee
2000,Film,Steven Soderbergh,Erin Brockovich,Nominee
2001,Film,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,Winner
2001,Film,Jean-Pierre Jeunet,Amélie,Nominee
2001,Film,Ron Howard,A Beautiful Mind,Nominee
2001,Film,Baz Luhrmann,Moulin Rouge!,Nominee
2001,Film,"Andrew Adamson, Vicky Jenson",Shrek,Nominee
2002,Film,Roman Polanski,The Pianist,Winner
2002,Film,Rob Marshall,Chicago,Nominee
2002,Film,Martin Scorsese,Gangs of New York,Nominee
2002,Film,Stephen Daldry,The Hours,Nominee
2002,Film,Peter Jackson,The Lord of the Rings: The Two Towers,Nominee
2003,Film,Peter Jackson,The Lord of the Rings: The Return of the King,Winner
2003,Film,Tim Burton,Big Fish,Nominee
2003,Film,Anthony Minghella,Cold Mountain,Nominee
2003,Film,Sofia Coppola,Lost in Translation,Nominee
2003,Film,Peter Weir,Master and Commander: The Far Side of the World,Nominee
2004,Film,Martin Scorsese,The Aviator,Winner
2004,Film,Michel Gondry,Eternal Sunshine of the Spotless Mind,Nominee
2004,Film,Marc Forster,Finding Neverland,Nominee
2004,Film,Walter Salles,The Motorcycle Diaries,Nominee
2004,Film,Mike Leigh,Vera Drake,Nominee
2005,Film,Ang Lee,Brokeback Mountain,Winner
2005,Film,Bennett Miller,Capote,Nominee
2005,Film,Fernando Meirelles,The Constant Gardener,Nominee
2005,Film,Paul Haggis,Crash,Nominee
2005,Film,George Clooney,"Good Night, and Good Luck",Nominee
2006,Film,Stephen Frears,The Queen,Winner
2006,Film,Alejandro González Iñárritu,Babel,Nominee
2006,Film,Martin Scorsese,The Departed,Nominee
2006,Film,Kevin Macdonald,The Last King of Scotland,Nominee
2006,Film,"Jonathan Dayton, Valerie Faris",Little Miss Sunshine,Nominee
2007,Film,Joe Wright,Atonement,Winner
2007,Film,Ridley Scott,American Gangster,Nominee
2007,Film,Florian Henckel von Donnersmarck,The Lives of Others,Nominee
2007,Film,Joel and Ethan Coen,No Country for Old Men,Nominee
2007,Film,Paul Thomas Anderson,There Will Be Blood,Nominee
2008,Film,Danny Boyle,Slumdog Millionaire,Winner
2008,Film,David Fincher,The Curious Case of Benjamin Button,Nominee
2008,Film,Ron Howard,Frost/Nixon,Nominee
2008,Film,Gus Van Sant,Milk,Nominee
2008,Film,Stephen Daldry,The Reader,Nominee
2009,Film,Kathryn Bigelow,The Hurt Locker,Winner
2009,Film,James Cameron,Avatar,Nominee
2009,Film,Lone Scherfig,An Education,Nominee
2009,Film,Lee Daniels,Precious,Nominee
2009,Film,Jason Reitman,Up in the Air,Nominee
2010,Film,Tom Hooper,The King's Speech,Winner
2010,Film,Darren Aronofsky,Black Swan,Nominee
2010,Film,Christopher Nolan,Inception,Nominee
2010,Film,David Fincher,The Social Network,Nominee
2010,Film,Joel and Ethan Coen,True Grit,Nominee
2011,Film,Michel Hazanavicius,The Artist,Winner
2011,Film,Alexander Payne,The Descendants,Nominee
2011,Film,Nicolas Winding Refn,Drive,Nominee
2011,Film,Tate Taylor,The Help,Nominee
2011,Film,Tomas Alfredson,Tinker Tailor Soldier Spy,Nominee
2012,Film,Ben Affleck,Argo,Winner
2012,Film,Tom Hooper,Les Misérables,Nominee
2012,Film,Ang Lee,Life of Pi,Nominee
2012,Film,Steven Spielberg,Lincoln,Nominee
2012,Film,Kathryn Bigelow,Zero Dark Thirty,Nominee
2013,Film,Steve McQueen,12 Years a Slave,Winner
2013,Film,David O. Russell,American Hustle,Nominee
2013,Film,Paul Greengrass,Captain Phillips,Nominee
2013,Film,Alfonso Cuarón,Gravity,Nominee
2013,Film,Stephen Frears,Philomena,Nominee
2014,Film,Richard Linklater,Boyhood,Winner
2014,Film,Alejandro G. Iñárritu,Birdman,Nominee
2014,Film,Wes Anderson,The Grand Budapest Hotel,Nominee
2014,Film,Morten Tyldum,The Imitation Game,Nominee
2014,Film,James Marsh,The Theory of Everything,Nominee
2015,Film,Alejandro G. Iñárritu,The Revenant,Winner
2015,Film,Adam McKay,The Big Short,Nominee
2015,Film,Steven Spielberg,Bridge of Spies,Nominee
2015,Film,Todd Haynes,Carol,Nominee
2015,Film,Tom McCarthy,Spotlight,Nominee
2016,Film,Damien Chazelle,La La Land,Winner
2016,Film,Denis Villeneuve,Arrival,Nominee
2016,Film,Ken Loach,"I, Daniel Blake",Nominee
2016,Film,Kenneth Lonergan,Manchester by the Sea,Nominee
2016,Film,Barry Jenkins,Moonlight,Nominee
2017,Film,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Winner
2017,Film,Luca Guadagnino,Call Me by Your Name,Nominee
2017,Film,Joe Wright,Darkest Hour,Nominee
2017,Film,Christopher Nolan,Dunkirk,Nominee
2017,Film,Guillermo del Toro,The Shape of Water,Nominee
2018,Film,Alfonso Cuarón,Roma,Winner
2018,Film,Spike Lee,BlacKkKlansman,Nominee
2018,Film,Yorgos Lanthimos,The Favourite,Nominee
2018,Film,Peter Farrelly,Green Book,Nominee
2018,Film,Bradley Cooper,A Star is Born,Nominee
2019,Film,Sam Mendes,1917,Winner
2019,Film,Martin Scorsese,The Irishman,Nominee
2019,Film,Todd Phillips,Joker,Nominee
2019,Film,Quentin Tarantino,Once Upon a Time in Hollywood,Nominee
2019,Film,Bong Joon-ho,Parasite,Nominee
2020,Film,Chloé Zhao,Nomadland,Winner
2020,Film,Florian Zeller,The Father,Nominee
2020,Film,Kevin Macdonald,The Mauritanian,Nominee
2020,Film,Emerald Fennell,Promising Young Woman,Nominee
2020,Film,Aaron Sorkin,The Trial of the Chicago 7,Nominee
2021,Film,Jane Campion,The Power of the Dog,Winner
2021,Film,Kenneth Branagh,Belfast,Nominee
2021,Film,Adam McKay,Don't Look Up,Nominee
2021,Film,Denis Villeneuve,Dune,Nominee
2021,Film,Paul Thomas Anderson,Licorice Pizza,Nominee
2022,Film,Edward Berger,All Quiet on the Western Front,Winner
2022,Film,Martin McDonagh,The Banshees of Inisherin,Nominee
2022,Film,Baz Luhrmann,Elvis,Nominee
2022,Film,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,Nominee
2022,Film,Todd Field,Tár,Nominee
2023,Film,Christopher Nolan,Oppenheimer,Winner
2023,Film,Justine Triet,Anatomy of a Fall,Nominee
2023,Film,Alexander Payne,The Holdovers,Nominee
2023,Film,Martin Scorsese,Killers of the Flower Moon,Nominee
2023,Film,Yorgos Lanthimos,Poor Things,Nominee